ID,GlideNumber,Country,OtherCountry,long,lat,Area,Began,Ended,Validation,Dead,Displaced,MainCause,Severity
2794,0,Fiji,0,179.651,-16.4518,2372.59,2/4/06,2/9/06,News,4,224,Heavy rain,1
2795,FL-2006-000025-PNG,Papua New Guinea,0,147.275,-9.06991,34451.65,2/3/06,2/19/06,News,1,12000,Heavy rain,2
2796,0,Indonesia,0,102.23,-1.81545,29003.72,2/7/06,2/13/06,News,0,300,Heavy rain,1
2797,FL-2006-000018-IRQ,Iraq,0,45.4859,34.2105,77638.16,2/4/06,2/12/06,News,0,28000,Heavy rain,1
2798,0,Malaysia,Thailand,102.536,4.32621,85479.98,2/10/06,2/18/06,News,3,7000,Heavy rain,1
2799,FL-2006-000023-DZA,Algeria,0,-5.907,27.6696,180478.52,2/10/06,2/15/06,News,1,60000,Heavy rain,1
2800,0,Philippines,0,125.115,8.15732,78789.89,2/10/06,2/18/06,News,20,30000,Monsoonal rain,1
2801,0,Lesotho,0,28.2416,-29.6695,30123.57,2/15/06,2/23/06,News,9,3000,Heavy rain,2
2802,FL-2006-000034-ECU,Ecuador,0,-79.9807,-2.23169,61414.58,2/16/06,5/6/06,News,17,55000,Heavy rain,1
2803,0,China,0,87.2118,40.658,76506.6,2/16/06,2/23/06,News,0,3000,Snowmelt,1
2804,FF-2006-000039-YEM,Yemen,0,44.1777,14.5368,10706.76,2/20/06,2/23/06,News,5,2000,Heavy rain,1
2805,0,Vietnam,0,106.928,17.0428,17541.13,2/14/06,2/21/06,News,0,500,Heavy rain,2
2806,0,Brazil,0,-70.2968,-9.14637,149086.15,2/13/06,3/20/06,News,3,33000,Heavy rain,1
2807,FL-2006-000027-IDN,Indonesia,0,124.664,1.07274,33830.6,2/13/06,2/23/06,News,33,17500,Monsoonal rain,1
2808,0,USA,0,-157.97,21.494,3020.97,2/21/06,3/6/06,News,0,0,Heavy rain,1
2809,FL-2006-000041-SRB,Serbia,Montenegro,20.8258,42.6033,10087.24,2/21/06,3/1/06,News,0,1200,Rain and snowmelt,1
2810,FL-2006-000029-NAM,Namibia,0,17.9801,-24.5303,16107.27,2/24/06,2/28/06,News,5,2100,"Dam/Levy, break or release",2
2811,0,Malaysia,0,101.653,3.11572,1175.07,2/26/06,2/26/06,News,0,9000,Brief torrential rain,1
2812,0,Papua New Guinea,0,144.381,-5.79946,7506.79,2/18/06,2/24/06,News,6,5000,Heavy rain,1
2813,0,Australia,0,152.621,-30.2302,33679.3,3/1/06,3/8/06,News,0,0,Heavy rain,1
