Date,aapl,cisco,ibm,amzn
5/5/14,80.68252955,20.63982351,172.0871145,310.05
5/6/14,79.80315227,20.42852495,170.980416,297.38
5/7/14,79.52389964,20.56339637,171.3133253,292.71
5/8/14,79.38293076,20.69646951,170.9603818,288.32
5/9/14,79.05250045,20.69826779,172.0192122,292.24
5/12/14,80.036366,20.85112207,174.2726205,302.86
5/13/14,80.16192277,20.55440494,173.9287268,304.64
5/14/14,80.17677357,20.50935789,170.788435,297.62
5/15/14,79.49498681,21.74127347,168.7431729,295.19
5/16/14,80.66820007,21.91211061,169.2861629,297.7
5/19/14,81.62405162,21.89412775,169.2318639,296.755
5/20/14,81.64025249,21.6873249,167.3223493,301.19
5/21/14,81.85626414,22.01101632,168.6798241,305.01
5/22/14,81.98587113,21.92110203,168.037286,304.91
5/23/14,82.91202107,22.04698203,168.2725816,312.24
5/27/14,84.4646048,22.21781917,167.2228011,310.82
5/28/14,84.245893,22.31672488,165.6843296,310.16
5/29/14,85.78092578,22.19084488,166.2997182,313.78
5/30/14,85.45960845,22.13689631,166.8427081,312.55
6/2/14,84.87232678,22.28075916,168.0463358,308.84
6/3/14,86.0725415,22.18634917,166.851758,307.19
6/4/14,87.05539451,22.02899917,166.9784556,306.78
6/5/14,87.39696292,22.20882774,168.308781,323.57
6/6/14,87.15664997,22.3257163,168.6617244,329.67
6/9/14,88.55127517,22.29874202,168.5259769,327.5
6/10/14,89.0710532,22.47857058,166.7793593,332.41
6/11/14,88.70248333,22.5145363,164.9331935,335.2
6/12/14,87.21875331,22.17286202,164.0010608,325.91
6/13/14,86.26425184,22.20882774,165.2137383,326.27
6/16/14,87.13369873,22.05597346,165.0236918,327.62
6/17/14,87.02029261,22.02899917,164.9422434,325.62
6/18/14,87.11479771,22.14588774,166.1549209,334.38
6/19/14,86.8123814,22.21781917,165.449034,327
6/20/14,85.91458299,22.3257163,164.2997053,324.2
6/23/14,85.83897891,22.20882774,164.8336454,327.24
6/24/14,85.31920088,22.05597346,163.6933665,324.16
6/25/14,85.39480496,22.22681059,163.5485692,327.44
6/26/14,85.90513248,22.1638706,163.2318251,325.69
6/27/14,86.92578752,22.20882774,164.4445026,324.57
6/30/14,87.82358593,22.34369916,164.04631,324.78
7/1/14,88.381166,22.55050201,168.6436248,332.39
7/2/14,88.34336396,22.67638201,170.4897906,332.85
7/3/14,88.86314199,22.8213369,170.6164882,337.492
7/7/14,90.69465075,22.85757563,170.1730464,333.55
7/8/14,90.11060926,22.71262073,169.4309602,323.81
7/9/14,90.1484113,23.04782893,170.51694,329.97
7/10/14,89.81291821,23.04782893,169.8653521,327.92
7/11/14,89.98775263,23.12030638,170.1368471,346.2
7/14/14,91.15016532,23.04782893,171.8201159,355.32
7/15/14,90.08225773,23.2562016,170.5802889,354.44
7/16/14,89.57193021,23.53705172,174.082574,355.9
7/17/14,87.97469958,23.21996288,174.2002218,352.454
7/18/14,89.24116237,23.47363395,174.2092716,358.66
7/21/14,88.77714235,23.41927586,172.7160493,359.76
7/22/14,89.51522715,23.50987267,175.648195,360.84
7/23/14,91.84950303,23.26526128,175.2319027,358.14
7/24/14,91.69829488,23.4011565,176.6889257,358.61
7/25/14,92.30407254,23.52799204,175.9287398,324.01
7/28/14,93.57894629,23.48269363,177.1776166,320.41
7/29/14,92.97411367,23.29244033,176.0825869,320
7/30/14,92.75675195,23.21996288,175.5667465,322.51
7/31/14,90.346872,22.85757563,173.4581355,312.99
8/1/14,90.84774901,22.64920296,171.1775778,307.06
8/4/14,90.33742149,22.7986877,171.6210196,313.65
8/5/14,89.89324754,22.62202392,169.3223622,312.32
8/6/14,89.74203938,22.58578519,169.2952127,313.89
8/7/14,89.73258887,22.52236743,167.7749513,311.45
8/8/14,89.97952445,22.67638201,169.8960345,316.8
8/11/14,91.16671471,22.85757563,170.6607169,318.33
8/12/14,91.14771967,22.78509818,170.5423732,319.32
8/13/14,92.35390498,22.83039659,171.0976783,326.28
8/14/14,92.60084055,22.23245763,171.0339547,333.21
8/15/14,93.05672161,22.13280113,170.5787867,333.63
8/18/14,94.17742922,22.31399476,172.3812522,334.53
8/19/14,95.47858975,22.32305444,173.0275909,335.13
